实验                   名称                       TrainAcc    TestAll        前60       后150
---------------------------------------------------------------------------
架构对比                 单隐藏层-8                     0.9867     0.9714     0.9833     0.9667
架构对比                 单隐藏层-16                    0.9844     0.9714     0.9667     0.9733
架构对比                 单隐藏层-32                    0.9889     0.9762     0.9667       0.98
架构对比                 单隐藏层-64                    0.9911     0.9857        1.0       0.98
架构对比                 双隐藏层-16-8                  0.9844     0.9667     0.9833       0.96
架构对比                 双隐藏层-32-16                 0.9844     0.9762     0.9833     0.9733
架构对比                 双隐藏层-64-32                 0.9956        1.0        1.0        1.0
架构对比                 双隐藏层-128-64                0.9978        1.0        1.0        1.0
架构对比                 三隐藏层-32-16-8               0.9978     0.9952        1.0     0.9933
激活函数对比               activation=relu            0.9844     0.9762     0.9833     0.9733
激活函数对比               activation=tanh            0.9933     0.9952        1.0     0.9933
激活函数对比               activation=sigmoid           0.98     0.9857        1.0       0.98
激活函数对比               activation=leaky_relu      0.9956        1.0        1.0        1.0
Dropout对比            dropout=0.0                0.9956        1.0        1.0        1.0
Dropout对比            dropout=0.1                0.9956     0.9857        1.0       0.98
Dropout对比            dropout=0.3                0.9933      0.981        1.0     0.9733
Dropout对比            dropout=0.5                0.9844     0.9667     0.9833       0.96
数据集对比                Dataset 1                  0.9844     0.9762     0.9833     0.9733
数据集对比                Dataset 2                  0.9111     0.9143       0.85       0.94
含噪数据架构对比             单层-16                      0.8911     0.9381     0.9167     0.9467
含噪数据架构对比             双层-32-16                   0.9111     0.9143       0.85       0.94
含噪数据架构对比             双层-64-32                   0.9178     0.9381     0.9167     0.9467
